productName,buyPrice,MSRP
18th Century Vintage Horse Carriage,60.74,104.72
18th century schooner,82.34,122.89
1900s Vintage Bi-Plane,34.25,68.51
1900s Vintage Tri-Plane,36.23,72.45
1903 Ford Model A,68.3,136.59
1904 Buick Runabout,52.66,87.77
1911 Ford Town Car,33.3,60.54
1912 Ford Model T Delivery Wagon,46.91,88.51
1913 Ford Model T Speedster,60.78,101.31
1917 Grand Touring Sedan,86.7,170
1917 Maxwell Touring Car,57.54,99.21
1926 Ford Fire Engine,24.92,60.77
1928 British Royal Navy Airplane,66.74,109.42
1928 Ford Phaeton Deluxe,33.02,68.79
1928 Mercedes-Benz SSK,72.56,168.75
1930 Buick Marquette Phaeton,27.06,43.64
1932 Alfa Romeo 8C2300 Spider Sport,43.26,92.03
1932 Model A Ford J-Coupe,58.48,127.13
1934 Ford V8 Coupe,34.35,62.46
1936 Chrysler Airflow,57.46,97.39
1936 Harley Davidson El Knucklehead,24.23,60.57
1936 Mercedes Benz 500k Roadster,21.75,41.03
1936 Mercedes-Benz 500K Special Roadster,24.26,53.91
1937 Horch 930V Limousine,26.3,65.75
1937 Lincoln Berline,60.62,102.74
1938 Cadillac V-16 Presidential Limousine,20.61,44.8
1939 Cadillac Limousine,23.14,50.31
1939 Chevrolet Deluxe Coupe,22.57,33.19
1940 Ford Delivery Sedan,48.64,83.86
1940 Ford Pickup Truck,58.33,116.67
1940s Ford truck,84.76,121.08
1941 Chevrolet Special Deluxe Cabriolet,64.58,105.87
1948 Porsche 356-A Roadster,53.9,77
1948 Porsche Type 356 Roadster,62.16,141.28
1949 Jaguar XK 120,47.25,90.87
1950's Chicago Surface Lines Streetcar,26.72,62.14
1952 Alpine Renault 1300,98.58,214.3
1952 Citroen-15CV,72.82,117.44
1954 Greyhound Scenicruiser,25.98,54.11
1956 Porsche 356A Coupe,98.3,140.43
1957 Chevy Pickup,55.7,118.5
1957 Corvette Convertible,69.93,148.8
1957 Ford Thunderbird,34.21,71.27
1957 Vespa GS150,32.95,62.17
1958 Chevy Corvette Limited Edition,15.91,35.36
1958 Setra Bus,77.9,136.67
1960 BSA Gold Star DBD34,37.32,76.17
1961 Chevrolet Impala,32.33,80.84
1962 City of Detroit Streetcar,37.49,58.58
1962 LanciaA Delta 16V,103.42,147.74
1962 Volkswagen Microbus,61.34,127.79
1964 Mercedes Tour Bus,74.86,122.73
1965 Aston Martin DB5,65.96,124.44
1966 Shelby Cobra 427 S/C,29.18,50.31
1968 Dodge Charger,75.16,117.44
1968 Ford Mustang,95.34,194.57
1969 Chevrolet Camaro Z28,50.51,85.61
1969 Corvair Monza,89.14,151.08
1969 Dodge Charger,58.73,115.16
1969 Dodge Super Bee,49.05,80.41
1969 Ford Falcon,83.05,173.02
1969 Harley Davidson Ultimate Chopper,48.81,95.7
1970 Chevy Chevelle SS 454,49.24,73.49
1970 Dodge Coronet,32.37,57.8
1970 Plymouth Hemi Cuda,31.92,79.8
1970 Triumph Spitfire,91.92,143.62
1971 Alpine Renault 1600s,38.58,61.23
1972 Alfa Romeo GTA,85.68,136
1974 Ducati 350 Mk3 Desmo,56.13,102.05
1976 Ford Gran Torino,73.49,146.99
1980's GM Manhattan Express,53.93,96.31
1980s Black Hawk Helicopter,77.27,157.69
1982 Camaro Z28,46.53,101.15
1982 Ducati 900 Monster,47.1,69.26
1982 Ducati 996 R,24.14,40.23
1982 Lamborghini Diablo,16.24,37.76
1985 Toyota Supra,57.01,107.57
1992 Ferrari 360 Spider red,77.9,169.34
1992 Porsche Cayenne Turbo Silver,69.78,118.28
1993 Mazda RX-7,83.51,141.54
1995 Honda Civic,93.89,142.25
1996 Moto Guzzi 1100i,68.99,118.94
1996 Peterbilt 379 Stake Bed with Outrigger,33.61,64.64
1997 BMW F650 ST,66.92,99.89
1997 BMW R 1100 S,60.86,112.7
1998 Chrysler Plymouth Prowler,101.51,163.73
1999 Indy 500 Monte Carlo SS,56.76,132
1999 Yamaha Speed Boat,51.61,86.02
2001 Ferrari Enzo,95.59,207.8
2002 Chevy Corvette,62.11,107.08
2002 Suzuki XREO,66.27,150.62
2002 Yamaha YZR M1,34.17,81.36
2003 Harley-Davidson Eagle Drag Bike,91.02,193.66
ATA: B757-300,59.33,118.65
America West Airlines B757-200,68.8,99.72
American Airlines: B767-300,51.15,91.34
American Airlines: MD-11S,36.27,74.03
Boeing X-32A JSF,32.77,49.66
Collectable Wooden Train,67.56,100.84
Corsair F4U ( Bird Cage),29.34,68.24
Diamond T620 Semi-Skirted Tanker,68.29,115.75
F/A 18 Hornet 1/72,54.4,80
HMS Bounty,39.83,90.52
P-51-D Mustang,49,84.48
Pont Yacht,33.3,54.6
The Mayflower,43.3,86.61
The Queen Mary,53.63,99.31
The Schooner Bluenose,34,66.67
The Titanic,51.09,100.17
The USS Constitution Ship,33.97,72.28
