customerName,city
ANG Resellers,Madrid
"AV Stores, Co.",Manchester
Alpha Cognac,Toulouse
American Souvenirs Inc,New Haven
Amica Models & Co.,Torino
"Anna's Decorations, Ltd",North Sydney
"Anton Designs, Ltd.",Madrid
"Asian Shopping Network, Co",Singapore
"Asian Treasures, Inc.",Cork
Atelier graphique,Nantes
"Australian Collectables, Ltd",Glen Waverly
"Australian Collectors, Co.",Melbourne
"Australian Gift Network, Co",South Brisbane
Auto Associés & Cie.,Versailles
Auto Canal+ Petit,Paris
Auto-Moto Classics Inc.,Brickhaven
BG&E Collectables,Fribourg
Baane Mini Imports,Stavern
"Bavarian Collectables Imports, Co.",Munich
"Blauer See Auto, Co.",Frankfurt
Boards & Toys Co.,Glendale
CAF Imports,Madrid
Cambridge Collectables Co.,Cambridge
Canadian Gift Exchange Network,Vancouver
"Classic Gift Ideas, Inc",Philadelphia
Classic Legends Inc.,NYC
"Clover Collections, Co.",Dublin
Collectable Mini Designs Co.,San Diego
Collectables For Less Inc.,Brickhaven
Corporate Gift Ideas Co.,San Francisco
"Corrida Auto Replicas, Ltd",Madrid
"Cramer Spezialitäten, Ltd",Brandenburg
Cruz & Sons Co.,Makati City
Daedalus Designs Imports,Lille
Danish Wholesale Imports,Kobenhavn
Der Hund Imports,Berlin
Diecast Classics Inc.,Allentown
Diecast Collectables,Boston
"Double Decker Gift Stores, Ltd",London
"Down Under Souveniers, Inc",Auckland  
"Dragon Souveniers, Ltd.",Singapore
Enaco Distributors,Barcelona
Euro+ Shopping Channel,Madrid
"Extreme Desk Decorations, Ltd",Wellington
"Feuer Online Stores, Inc",Leipzig
"Franken Gifts, Co",München
Frau da Collezione,Milan
FunGiftIdeas.com,New Bedford
Gift Depot Inc.,Bridgewater
Gift Ideas Corp.,Glendale
Gifts4AllAges.com,Boston
GiftsForHim.com,Auckland
Handji Gifts& Co,Singapore
Havel & Zbyszek Co,Warszawa
Heintze Collectables,Århus
Herkku Gifts,Bergen
"Iberia Gift Imports, Corp.",Sevilla
Kelly's Gift Shop,Auckland
"King Kong Collectables, Co.",Central Hong Kong
Kommission Auto,Münster
"Kremlin Collectables, Co.",Saint Petersburg
L'ordine Souveniers,Reggio Emilia
"La Corne Dabondance, Co.",Paris
La Rochelle Gifts,Nantes
Land of Toys Inc.,NYC
"Lisboa Souveniers, Inc",Lisboa
Lyon Souveniers,Paris
Marseille Mini Autos,Marseille
Marta's Replicas Co.,Cambridge
"Men'R' US Retailers, Ltd.",Los Angeles
Messner Shopping Network,Frankfurt
Microscale Inc.,NYC
Mini Auto Werke,Graz
Mini Caravy,Strasbourg
Mini Classics,White Plains
Mini Creations Ltd.,New Bedford
Mini Gifts Distributors Ltd.,San Rafael
Mini Wheels Co.,San Francisco
Mit Vergnügen & Co.,Mannheim
Motor Mint Distributors Inc.,Philadelphia
Muscle Machine Inc,NYC
Natürlich Autos,Cunewalde
"Norway Gifts By Mail, Co.",Oslo
Online Diecast Creations Co.,Nashua
Online Mini Collectables,Brickhaven
Osaka Souveniers Co.,Kita-ku
"Oulu Toy Supplies, Inc.",Oulu
Petit Auto,Bruxelles
Porto Imports Co.,Lisboa
Precious Collectables,Bern
Québec Home Shopping Network,Montréal
"Raanan Stores, Inc",Herzlia
Reims Collectables,Reims
Rovelli Gifts,Bergamo
"Royal Canadian Collectables, Ltd.",Tsawassen
Royale Belge,Charleroi
"SAR Distributors, Co",Hatfield
Salzburg Collectables,Salzburg
"Saveley & Henriot, Co.",Lyon
Scandinavian Gift Ideas,Bräcke
Schuyler Imports,Amsterdam
Signal Collectibles Ltd.,Brisbane
Signal Gift Stores,Las Vegas
Souveniers And Things Co.,Chatswood
Stuttgart Collectable Exchange,Stuttgart
"Stylish Desk Decors, Co.",London
Suominen Souveniers,Espoo
Super Scale Inc.,New Haven
Technics Stores Inc.,Burlingame
Tekni Collectables Inc.,Newark
The Sharp Gifts Warehouse,San Jose
"Tokyo Collectables, Ltd",Minato-ku
"Toms Spezialitäten, Ltd",Köln
"Toys of Finland, Co.",Helsinki
Toys4GrownUps.com,Pasadena
"UK Collectables, Ltd.",Liverpool
"Vida Sport, Ltd",Genève
Vitachrome Inc.,NYC
"Volvo Model Replicas, Co",Luleå
Warburg Exchange,Aachen
West Coast Collectables Co.,Burbank
giftsbymail.co.uk,Cowes
