orderNumber,orderDate
10100,2003-01-06
10101,2003-01-09
10102,2003-01-10
10103,2003-01-29
10104,2003-01-31
10105,2003-02-11
10106,2003-02-17
10107,2003-02-24
10108,2003-03-03
10109,2003-03-10
10110,2003-03-18
10112,2003-03-24
10111,2003-03-25
10113,2003-03-26
10114,2003-04-01
10115,2003-04-04
10116,2003-04-11
10117,2003-04-16
10118,2003-04-21
10119,2003-04-28
10120,2003-04-29
10121,2003-05-07
10122,2003-05-08
10123,2003-05-20
10124,2003-05-21
10125,2003-05-21
10126,2003-05-28
10127,2003-06-03
10128,2003-06-06
10129,2003-06-12
10130,2003-06-16
10131,2003-06-16
10132,2003-06-25
10133,2003-06-27
10134,2003-07-01
10135,2003-07-02
10136,2003-07-04
10138,2003-07-07
10137,2003-07-10
10139,2003-07-16
10140,2003-07-24
10141,2003-08-01
10142,2003-08-08
10143,2003-08-10
10144,2003-08-13
10145,2003-08-25
10146,2003-09-03
10147,2003-09-05
10148,2003-09-11
10149,2003-09-12
10150,2003-09-19
10151,2003-09-21
10152,2003-09-25
10153,2003-09-28
10154,2003-10-02
10300,2003-10-04
10301,2003-10-05
10155,2003-10-06
10302,2003-10-06
10156,2003-10-08
10157,2003-10-09
10158,2003-10-10
10159,2003-10-10
10160,2003-10-11
10161,2003-10-17
10162,2003-10-18
10163,2003-10-20
10164,2003-10-21
10166,2003-10-21
10165,2003-10-22
10167,2003-10-23
10168,2003-10-28
10169,2003-11-04
10170,2003-11-04
10171,2003-11-05
10172,2003-11-05
10173,2003-11-05
10174,2003-11-06
10175,2003-11-06
10176,2003-11-06
10177,2003-11-07
10178,2003-11-08
10179,2003-11-11
10180,2003-11-11
10181,2003-11-12
10182,2003-11-12
10183,2003-11-13
10184,2003-11-14
10185,2003-11-14
10186,2003-11-14
10187,2003-11-15
10188,2003-11-18
10189,2003-11-18
10190,2003-11-19
10191,2003-11-20
10192,2003-11-20
10193,2003-11-21
10194,2003-11-25
10195,2003-11-25
10196,2003-11-26
10197,2003-11-26
10198,2003-11-27
10199,2003-12-01
10200,2003-12-01
10201,2003-12-01
10202,2003-12-02
10203,2003-12-02
10204,2003-12-02
10205,2003-12-03
10206,2003-12-05
10207,2003-12-09
10208,2004-01-02
10209,2004-01-09
10210,2004-01-12
10211,2004-01-15
10212,2004-01-16
10213,2004-01-22
10214,2004-01-26
10215,2004-01-29
10216,2004-02-02
10217,2004-02-04
10218,2004-02-09
