customerNumber,checkNumber,amount
103,HQ336336,6066.78
103,JM555205,14571.44
103,OM314933,1676.14
112,BO864823,14191.12
112,HQ55022,32641.98
112,ND748579,33347.88
114,GG31455,45864.03
114,MA765515,82261.22
114,NP603840,7565.08
114,NR27552,44894.74
119,DB933704,19501.82
119,LN373447,47924.19
119,NG94694,49523.67
121,DB889831,50218.95
121,FD317790,1491.38
121,KI831359,17876.32
121,MA302151,34638.14
124,AE215433,101244.59
124,BG255406,85410.87
124,CQ287967,11044.3
124,ET64396,83598.04
124,HI366474,47142.7
124,HR86578,55639.66
124,KI131716,111654.4
124,LF217299,43369.3
124,NT141748,45084.38
128,DI925118,10549.01
128,FA465482,24101.81
128,FH668230,33820.62
128,IP383901,7466.32
129,DM826140,26248.78
129,ID449593,23923.93
129,PI42991,16537.85
131,CL442705,22292.62
131,MA724562,50025.35
131,NB445135,35321.97
141,AU364101,36251.03
141,DB583216,36140.38
141,DL460618,46895.48
141,HJ32686,59830.55
141,ID10962,116208.4
141,IN446258,65071.26
141,JE105477,120166.58
141,JN355280,49539.37
141,JN722010,40206.2
141,KT52578,63843.55
141,MC46946,35420.74
141,MF629602,20009.53
141,NU627706,26155.91
144,IR846303,36005.71
144,LA685678,7674.94
145,CN328545,4710.73
145,ED39322,28211.7
145,HR182688,20564.86
145,JJ246391,53959.21
146,FP549817,40978.53
146,FU793410,49614.72
146,LJ160635,39712.1
148,BI507030,44380.15
148,DD635282,2611.84
148,KM172879,105743
148,ME497970,3516.04
151,BF686658,58793.53
151,GB852215,20314.44
151,IP568906,58841.35
151,KI884577,39964.63
157,HI618861,35152.12
157,NN711988,63357.13
161,BR352384,2434.25
161,BR478494,50743.65
161,KG644125,12692.19
161,NI908214,38675.13
166,BQ327613,38785.48
166,DC979307,44160.92
166,LA318629,22474.17
167,ED743615,12538.01
167,GN228846,85024.46
171,GB878038,18997.89
171,IL104425,42783.81
172,AD832091,1960.8
172,CE51751,51209.58
172,EH208589,33383.14
173,GP545698,11843.45
173,IG462397,20355.24
175,CITI3434344,28500.78
175,IO448913,24879.08
175,PI15215,42044.77
177,AU750837,15183.63
177,CI381435,47177.59
181,CM564612,22602.36
181,GQ132144,5494.78
181,OH367219,44400.5
186,AE192287,23602.9
186,AK412714,37602.48
186,KA602407,34341.08
187,AM968797,52825.29
187,BQ39062,47159.11
187,KL124726,48425.69
189,BO711618,17359.53
189,NM916675,32538.74
198,FI192930,9658.74
198,HQ920205,6036.96
198,IS946883,5858.56
201,DP677013,23908.24
201,OO846801,37258.94
202,HI358554,36527.61
202,IQ627690,33594.58
204,GC697638,51152.86
204,IS150005,4424.4
205,GL756480,3879.96
205,LL562733,50342.74
205,NM739638,39580.6
209,BOAF82044,35157.75
209,ED520529,4632.31
209,PH785937,36069.26
211,BJ535230,45480.79
216,BG407567,3101.4
216,ML780814,24945.21
216,MM342086,40473.86
219,BN17870,3452.75
219,BR941480,4465.85
227,MQ413968,36164.46
227,NU21326,53745.34
233,BOFA23232,29070.38
233,II180006,22997.45
233,JG981190,16909.84
239,NQ865547,80375.24
240,IF245157,46788.14
240,JO719695,24995.61
242,AF40894,33818.34
242,HR224331,12432.32
242,KI744716,14232.7
249,IJ399820,33924.24
249,NE404084,48298.99
250,EQ12267,17928.09
250,HD284647,26311.63
250,HN114306,23419.47
256,EP227123,5759.42
256,HE84936,53116.99
259,EU280955,61234.67
259,GB361972,27988.47
260,IO164641,37527.58
260,NH776924,29284.42
276,EM979878,27083.78
