customerName,phone
ANG Resellers,(91) 745 6555
"AV Stores, Co.",(171) 555-1555
Alpha Cognac,61.77.6555
American Souvenirs Inc,2035557845
Amica Models & Co.,011-4988555
"Anna's Decorations, Ltd",02 9936 8555
"Anton Designs, Ltd.",+34 913 728555
"Asian Shopping Network, Co",+612 9411 1555
"Asian Treasures, Inc.",2967 555
Atelier graphique,40.32.2555
"Australian Collectables, Ltd",61-9-3844-6555
"Australian Collectors, Co.",03 9520 4555
"Australian Gift Network, Co",61-7-3844-6555
Auto Associés & Cie.,30.59.8555
Auto Canal+ Petit,(1) 47.55.6555
Auto-Moto Classics Inc.,6175558428
BG&E Collectables,+41 26 425 50 01
Baane Mini Imports,07-98 9555
"Bavarian Collectables Imports, Co.", +49 89 61 08 9555
"Blauer See Auto, Co.",+49 69 66 90 2555
Boards & Toys Co.,3105552373
CAF Imports,+34 913 728 555
Cambridge Collectables Co.,6175555555
Canadian Gift Exchange Network,(604) 555-3392
"Classic Gift Ideas, Inc",2155554695
Classic Legends Inc.,2125558493
"Clover Collections, Co.",+353 1862 1555
Collectable Mini Designs Co.,7605558146
Collectables For Less Inc.,6175558555
Corporate Gift Ideas Co.,6505551386
"Corrida Auto Replicas, Ltd",(91) 555 22 82
"Cramer Spezialitäten, Ltd",0555-09555
Cruz & Sons Co.,+63 2 555 3587
Daedalus Designs Imports,20.16.1555
Danish Wholesale Imports,31 12 3555
Der Hund Imports,030-0074555
Diecast Classics Inc.,2155551555
Diecast Collectables,6175552555
"Double Decker Gift Stores, Ltd",(171) 555-7555
"Down Under Souveniers, Inc",+64 9 312 5555
"Dragon Souveniers, Ltd.",+65 221 7555
Enaco Distributors,(93) 203 4555
Euro+ Shopping Channel,(91) 555 94 44
"Extreme Desk Decorations, Ltd",04 499 9555
"Feuer Online Stores, Inc",0342-555176
"Franken Gifts, Co",089-0877555
Frau da Collezione,+39 022515555
FunGiftIdeas.com,5085552555
Gift Depot Inc.,2035552570
Gift Ideas Corp.,2035554407
Gifts4AllAges.com,6175559555
GiftsForHim.com,64-9-3763555
Handji Gifts& Co,+65 224 1555
Havel & Zbyszek Co,(26) 642-7555
Heintze Collectables,86 21 3555
Herkku Gifts,+47 2267 3215
"Iberia Gift Imports, Corp.",(95) 555 82 82
Kelly's Gift Shop,+64 9 5555500
"King Kong Collectables, Co.",+852 2251 1555
Kommission Auto,0251-555259
"Kremlin Collectables, Co.",+7 812 293 0521
L'ordine Souveniers,0522-556555
"La Corne Dabondance, Co.",(1) 42.34.2555
La Rochelle Gifts,40.67.8555
Land of Toys Inc.,2125557818
"Lisboa Souveniers, Inc",(1) 354-2555
Lyon Souveniers,+33 1 46 62 7555
Marseille Mini Autos,91.24.4555
Marta's Replicas Co.,6175558555
"Men'R' US Retailers, Ltd.",2155554369
Messner Shopping Network,069-0555984
Microscale Inc.,2125551957
Mini Auto Werke,7675-3555
Mini Caravy,88.60.1555
Mini Classics,9145554562
Mini Creations Ltd.,5085559555
Mini Gifts Distributors Ltd.,4155551450
Mini Wheels Co.,6505555787
Mit Vergnügen & Co.,0621-08555
Motor Mint Distributors Inc.,2155559857
Muscle Machine Inc,2125557413
Natürlich Autos,0372-555188
"Norway Gifts By Mail, Co.",+47 2212 1555
Online Diecast Creations Co.,6035558647
Online Mini Collectables,6175557555
Osaka Souveniers Co.,+81 06 6342 5555
"Oulu Toy Supplies, Inc.",981-443655
Petit Auto,(02) 5554 67
Porto Imports Co.,(1) 356-5555
Precious Collectables,0452-076555
Québec Home Shopping Network,(514) 555-8054
"Raanan Stores, Inc",+ 972 9 959 8555
Reims Collectables,26.47.1555
Rovelli Gifts,035-640555
"Royal Canadian Collectables, Ltd.",(604) 555-4555
Royale Belge,(071) 23 67 2555
"SAR Distributors, Co",+27 21 550 3555
Salzburg Collectables,6562-9555
"Saveley & Henriot, Co.",78.32.5555
Scandinavian Gift Ideas,0695-34 6555
Schuyler Imports,+31 20 491 9555
Signal Collectibles Ltd.,4155554312
Signal Gift Stores,7025551838
Souveniers And Things Co.,+61 2 9495 8555
Stuttgart Collectable Exchange,0711-555361
"Stylish Desk Decors, Co.",(171) 555-0297
Suominen Souveniers,+358 9 8045 555
Super Scale Inc.,2035559545
Technics Stores Inc.,6505556809
Tekni Collectables Inc.,2015559350
The Sharp Gifts Warehouse,4085553659
"Tokyo Collectables, Ltd",+81 3 3584 0555
"Toms Spezialitäten, Ltd",0221-5554327
"Toys of Finland, Co.",90-224 8555
Toys4GrownUps.com,6265557265
"UK Collectables, Ltd.",(171) 555-2282
"Vida Sport, Ltd",0897-034555
Vitachrome Inc.,2125551500
"Volvo Model Replicas, Co",0921-12 3555
Warburg Exchange,0241-039123
West Coast Collectables Co.,3105553722
giftsbymail.co.uk,(198) 555-8888
