productName,MSRP
18th Century Vintage Horse Carriage,104.72
18th century schooner,122.89
1900s Vintage Bi-Plane,68.51
1900s Vintage Tri-Plane,72.45
1903 Ford Model A,136.59
1904 Buick Runabout,87.77
1911 Ford Town Car,60.54
1912 Ford Model T Delivery Wagon,88.51
1913 Ford Model T Speedster,101.31
1917 Grand Touring Sedan,170
1917 Maxwell Touring Car,99.21
1926 Ford Fire Engine,60.77
1928 British Royal Navy Airplane,109.42
1928 Ford Phaeton Deluxe,68.79
1928 Mercedes-Benz SSK,168.75
1930 Buick Marquette Phaeton,43.64
1932 Alfa Romeo 8C2300 Spider Sport,92.03
1932 Model A Ford J-Coupe,127.13
1934 Ford V8 Coupe,62.46
1936 Chrysler Airflow,97.39
1936 Harley Davidson El Knucklehead,60.57
1936 Mercedes Benz 500k Roadster,41.03
1936 Mercedes-Benz 500K Special Roadster,53.91
1937 Horch 930V Limousine,65.75
1937 Lincoln Berline,102.74
1938 Cadillac V-16 Presidential Limousine,44.8
1939 Cadillac Limousine,50.31
1939 Chevrolet Deluxe Coupe,33.19
1940 Ford Delivery Sedan,83.86
1940 Ford Pickup Truck,116.67
1940s Ford truck,121.08
1941 Chevrolet Special Deluxe Cabriolet,105.87
1948 Porsche 356-A Roadster,77
1948 Porsche Type 356 Roadster,141.28
1949 Jaguar XK 120,90.87
1950's Chicago Surface Lines Streetcar,62.14
1952 Alpine Renault 1300,214.3
1952 Citroen-15CV,117.44
1954 Greyhound Scenicruiser,54.11
1956 Porsche 356A Coupe,140.43
1957 Chevy Pickup,118.5
1957 Corvette Convertible,148.8
1957 Ford Thunderbird,71.27
1957 Vespa GS150,62.17
1958 Chevy Corvette Limited Edition,35.36
1958 Setra Bus,136.67
1960 BSA Gold Star DBD34,76.17
1961 Chevrolet Impala,80.84
1962 City of Detroit Streetcar,58.58
1962 LanciaA Delta 16V,147.74
1962 Volkswagen Microbus,127.79
1964 Mercedes Tour Bus,122.73
1965 Aston Martin DB5,124.44
1966 Shelby Cobra 427 S/C,50.31
1968 Dodge Charger,117.44
1968 Ford Mustang,194.57
1969 Chevrolet Camaro Z28,85.61
1969 Corvair Monza,151.08
1969 Dodge Charger,115.16
1969 Dodge Super Bee,80.41
1969 Ford Falcon,173.02
1969 Harley Davidson Ultimate Chopper,95.7
1970 Chevy Chevelle SS 454,73.49
1970 Dodge Coronet,57.8
1970 Plymouth Hemi Cuda,79.8
1970 Triumph Spitfire,143.62
1971 Alpine Renault 1600s,61.23
1972 Alfa Romeo GTA,136
1974 Ducati 350 Mk3 Desmo,102.05
1976 Ford Gran Torino,146.99
1980's GM Manhattan Express,96.31
1980s Black Hawk Helicopter,157.69
1982 Camaro Z28,101.15
1982 Ducati 900 Monster,69.26
1982 Ducati 996 R,40.23
1982 Lamborghini Diablo,37.76
1985 Toyota Supra,107.57
1992 Ferrari 360 Spider red,169.34
1992 Porsche Cayenne Turbo Silver,118.28
1993 Mazda RX-7,141.54
1995 Honda Civic,142.25
1996 Moto Guzzi 1100i,118.94
1996 Peterbilt 379 Stake Bed with Outrigger,64.64
1997 BMW F650 ST,99.89
1997 BMW R 1100 S,112.7
1998 Chrysler Plymouth Prowler,163.73
1999 Indy 500 Monte Carlo SS,132
1999 Yamaha Speed Boat,86.02
2001 Ferrari Enzo,207.8
2002 Chevy Corvette,107.08
2002 Suzuki XREO,150.62
2002 Yamaha YZR M1,81.36
2003 Harley-Davidson Eagle Drag Bike,193.66
ATA: B757-300,118.65
America West Airlines B757-200,99.72
American Airlines: B767-300,91.34
American Airlines: MD-11S,74.03
Boeing X-32A JSF,49.66
Collectable Wooden Train,100.84
Corsair F4U ( Bird Cage),68.24
Diamond T620 Semi-Skirted Tanker,115.75
F/A 18 Hornet 1/72,80
HMS Bounty,90.52
P-51-D Mustang,84.48
Pont Yacht,54.6
The Mayflower,86.61
The Queen Mary,99.31
The Schooner Bluenose,66.67
The Titanic,100.17
The USS Constitution Ship,72.28
