orderNumber,orderDate,status,customerName
10100,2003-01-06,Shipped,Online Diecast Creations Co.
10101,2003-01-09,Shipped,"Blauer See Auto, Co."
10102,2003-01-10,Shipped,Vitachrome Inc.
10103,2003-01-29,Shipped,Baane Mini Imports
10104,2003-01-31,Shipped,Euro+ Shopping Channel
10105,2003-02-11,Shipped,Danish Wholesale Imports
10106,2003-02-17,Shipped,Rovelli Gifts
10107,2003-02-24,Shipped,Land of Toys Inc.
10108,2003-03-03,Shipped,Cruz & Sons Co.
10109,2003-03-10,Shipped,Motor Mint Distributors Inc.
10110,2003-03-18,Shipped,"AV Stores, Co."
10111,2003-03-25,Shipped,Mini Wheels Co.
10112,2003-03-24,Shipped,"Volvo Model Replicas, Co"
10113,2003-03-26,Shipped,Mini Gifts Distributors Ltd.
10114,2003-04-01,Shipped,"La Corne Dabondance, Co."
10115,2003-04-04,Shipped,Classic Legends Inc.
10116,2003-04-11,Shipped,Royale Belge
10117,2003-04-16,Shipped,"Dragon Souveniers, Ltd."
10118,2003-04-21,Shipped,Enaco Distributors
10119,2003-04-28,Shipped,Salzburg Collectables
10120,2003-04-29,Shipped,"Australian Collectors, Co."
10121,2003-05-07,Shipped,Reims Collectables
10122,2003-05-08,Shipped,Marseille Mini Autos
10123,2003-05-20,Shipped,Atelier graphique
10124,2003-05-21,Shipped,Signal Gift Stores
10125,2003-05-21,Shipped,"Australian Collectors, Co."
10126,2003-05-28,Shipped,"Corrida Auto Replicas, Ltd"
10127,2003-06-03,Shipped,Muscle Machine Inc
10128,2003-06-06,Shipped,Euro+ Shopping Channel
10129,2003-06-12,Shipped,"Stylish Desk Decors, Co."
10130,2003-06-16,Shipped,Auto-Moto Classics Inc.
10131,2003-06-16,Shipped,Gift Ideas Corp.
10132,2003-06-25,Shipped,"Down Under Souveniers, Inc"
10133,2003-06-27,Shipped,Euro+ Shopping Channel
10134,2003-07-01,Shipped,Lyon Souveniers
10135,2003-07-02,Shipped,Mini Gifts Distributors Ltd.
10136,2003-07-04,Shipped,Alpha Cognac
10137,2003-07-10,Shipped,Reims Collectables
10138,2003-07-07,Shipped,Kelly's Gift Shop
10139,2003-07-16,Shipped,Souveniers And Things Co.
10140,2003-07-24,Shipped,Technics Stores Inc.
10141,2003-08-01,Shipped,Suominen Souveniers
10142,2003-08-08,Shipped,Mini Gifts Distributors Ltd.
10143,2003-08-10,Shipped,Mini Creations Ltd.
10144,2003-08-13,Shipped,Royale Belge
10145,2003-08-25,Shipped,Toys4GrownUps.com
10146,2003-09-03,Shipped,Gift Ideas Corp.
10147,2003-09-05,Shipped,Collectables For Less Inc.
10148,2003-09-11,Shipped,"Anna's Decorations, Ltd"
10149,2003-09-12,Shipped,Signal Collectibles Ltd.
10150,2003-09-19,Shipped,"Dragon Souveniers, Ltd."
10151,2003-09-21,Shipped,"Oulu Toy Supplies, Inc."
10152,2003-09-25,Shipped,"Australian Gift Network, Co"
10153,2003-09-28,Shipped,Euro+ Shopping Channel
10154,2003-10-02,Shipped,Boards & Toys Co.
10155,2003-10-06,Shipped,"Toys of Finland, Co."
10156,2003-10-08,Shipped,Euro+ Shopping Channel
10157,2003-10-09,Shipped,Frau da Collezione
10158,2003-10-10,Shipped,Baane Mini Imports
10159,2003-10-10,Shipped,Corporate Gift Ideas Co.
