orderNumber,productCode,productName,quantityOrdered,priceEach
10100,S24_3969,1936 Mercedes Benz 500k Roadster,49,35.29
10100,S18_2248,1911 Ford Town Car,50,55.09
10100,S18_1749,1917 Grand Touring Sedan,30,136
10100,S18_4409,1932 Alfa Romeo 8C2300 Spider Sport,22,75.46
10101,S18_2795,1928 Mercedes-Benz SSK,26,167.06
10101,S24_2022,1938 Cadillac V-16 Presidential Limousine,46,44.35
10101,S24_1937,1939 Chevrolet Deluxe Coupe,45,32.53
10101,S18_2325,1932 Model A Ford J-Coupe,25,108.06
10102,S18_1367,1936 Mercedes-Benz 500K Special Roadster,41,43.13
10102,S18_1342,1937 Lincoln Berline,39,95.55
10103,S24_2300,1962 Volkswagen Microbus,36,107.34
10103,S18_2432,1926 Ford Fire Engine,22,58.34
10103,S32_1268,1980's GM Manhattan Express,31,92.46
10103,S10_4962,1962 LanciaA Delta 16V,42,119.67
10103,S18_4600,1940s Ford truck,36,98.07
10103,S700_2824,1982 Camaro Z28,42,94.07
10103,S32_3522,1996 Peterbilt 379 Stake Bed with Outrigger,45,63.35
10103,S12_1666,1958 Setra Bus,27,121.64
10103,S18_4668,1939 Cadillac Limousine,41,40.75
10103,S18_1097,1940 Ford Pickup Truck,35,94.5
10103,S10_1949,1952 Alpine Renault 1300,26,214.3
10103,S18_2949,1913 Ford Model T Speedster,27,92.19
10103,S18_3136,18th Century Vintage Horse Carriage,25,86.92
10103,S18_2957,1934 Ford V8 Coupe,35,61.84
10103,S24_4258,1936 Chrysler Airflow,25,88.62
10103,S18_3320,1917 Maxwell Touring Car,46,86.31
10104,S12_3148,1969 Corvair Monza,34,131.44
10104,S50_1514,1962 City of Detroit Streetcar,32,53.31
10104,S18_4027,1970 Triumph Spitfire,38,119.2
10104,S32_3207,1950's Chicago Surface Lines Streetcar,49,56.55
10104,S24_4048,1992 Porsche Cayenne Turbo Silver,26,106.45
10104,S24_1444,1970 Dodge Coronet,35,52.02
10104,S50_1392,Diamond T620 Semi-Skirted Tanker,33,114.59
10104,S18_2238,1998 Chrysler Plymouth Prowler,24,135.9
10104,S12_4473,1957 Chevy Pickup,41,111.39
10104,S24_2840,1958 Chevy Corvette Limited Edition,44,30.41
10104,S32_2509,1954 Greyhound Scenicruiser,35,51.95
10104,S18_2319,1964 Mercedes Tour Bus,29,122.73
10104,S18_3232,1992 Ferrari 360 Spider red,23,165.95
10105,S24_3816,1940 Ford Delivery Sedan,50,75.47
10105,S10_4757,1972 Alfa Romeo GTA,50,127.84
10105,S700_2610,The USS Constitution Ship,31,60.72
10105,S24_3151,1912 Ford Model T Delivery Wagon,44,73.46
10105,S700_1138,The Schooner Bluenose,41,54
10105,S700_3505,The Titanic,39,92.16
10105,S700_3962,The Queen Mary,22,99.31
10105,S72_3212,Pont Yacht,25,44.77
10105,S24_2011,18th century schooner,43,117.97
10105,S18_4522,1904 Buick Runabout,41,75.48
10105,S18_3140,1903 Ford Model A,22,136.59
10105,S700_1938,The Mayflower,29,86.61
10105,S18_3259,Collectable Wooden Train,38,87.73
10105,S12_3891,1969 Ford Falcon,29,141.88
10105,S12_1108,2001 Ferrari Enzo,41,205.72
10106,S700_2834,ATA: B757-300,32,113.9
10106,S18_2581,P-51-D Mustang,34,81.1
10106,S24_4278,1900s Vintage Tri-Plane,26,71
10106,S24_1785,1928 British Royal Navy Airplane,28,107.23
10106,S32_4289,1928 Ford Phaeton Deluxe,33,65.35
10106,S50_1341,1930 Buick Marquette Phaeton,39,35.78
10106,S700_1691,American Airlines: B767-300,31,91.34
10106,S700_3167,F/A 18 Hornet 1/72,44,76
10106,S700_2466,America West Airlines B757-200,34,99.72
10106,S700_4002,American Airlines: MD-11S,48,70.33
10106,S24_3949,Corsair F4U ( Bird Cage),50,55.96
10106,S18_1662,1980s Black Hawk Helicopter,36,134.04
10106,S24_2841,1900s Vintage Bi-Plane,49,65.77
10106,S24_3420,1937 Horch 930V Limousine,31,55.89
10106,S72_1253,Boeing X-32A JSF,48,43.7
10106,S700_2047,HMS Bounty,30,85.09
10106,S18_3856,1941 Chevrolet Special Deluxe Cabriolet,41,94.22
10106,S18_3029,1999 Yamaha Speed Boat,41,80.86
10107,S12_2823,2002 Suzuki XREO,21,122
10107,S10_1678,1969 Harley Davidson Ultimate Chopper,30,81.35
10107,S24_1578,1997 BMW R 1100 S,25,96.92
10107,S10_4698,2003 Harley-Davidson Eagle Drag Bike,27,172.36
10107,S10_2016,1996 Moto Guzzi 1100i,39,105.86
10107,S18_2625,1936 Harley Davidson El Knucklehead,29,52.7
10107,S24_2000,1960 BSA Gold Star DBD34,38,73.12
10107,S32_1374,1997 BMW F650 ST,20,88.9
10108,S24_3856,1956 Porsche 356A Coupe,40,132
10108,S18_1889,1948 Porsche 356-A Roadster,38,67.76
10108,S12_4675,1969 Dodge Charger,36,107.1
10108,S12_3380,1968 Dodge Charger,45,96.3
10108,S24_3371,1971 Alpine Renault 1600s,30,60.01
10108,S12_1099,1968 Ford Mustang,33,165.38
10108,S12_3990,1970 Plymouth Hemi Cuda,39,75.81
10108,S18_3482,1976 Ford Gran Torino,29,132.29
10108,S18_3278,1969 Dodge Super Bee,26,73.17
10108,S24_4620,1961 Chevrolet Impala,31,67.1
10108,S18_4721,1957 Corvette Convertible,44,139.87
10108,S18_3782,1957 Vespa GS150,43,52.84
10108,S32_2206,1982 Ducati 996 R,27,36.21
10108,S50_4713,2002 Yamaha YZR M1,34,74.85
10108,S24_2360,1982 Ducati 900 Monster,35,64.41
10108,S32_4485,1974 Ducati 350 Mk3 Desmo,31,87.76
10109,S18_2870,1999 Indy 500 Monte Carlo SS,26,126.72
10109,S18_3685,1948 Porsche Type 356 Roadster,47,125.74
10109,S18_1984,1995 Honda Civic,38,137.98
10109,S18_1129,1993 Mazda RX-7,26,117.48
10109,S18_3232,1992 Ferrari 360 Spider red,46,160.87
10109,S24_2972,1982 Lamborghini Diablo,29,32.1
10110,S18_2795,1928 Mercedes-Benz SSK,31,163.69
10110,S24_2022,1938 Cadillac V-16 Presidential Limousine,39,40.77
10110,S24_1937,1939 Chevrolet Deluxe Coupe,20,28.88
10110,S18_2325,1932 Model A Ford J-Coupe,33,115.69
10110,S24_3969,1936 Mercedes Benz 500k Roadster,48,35.29
10110,S18_2248,1911 Ford Town Car,32,51.46
10110,S18_1749,1917 Grand Touring Sedan,42,153
10110,S18_4409,1932 Alfa Romeo 8C2300 Spider Sport,28,81.91
10110,S18_4933,1957 Ford Thunderbird,42,62
10110,S24_2887,1952 Citroen-15CV,46,112.74
10110,S24_2766,1949 Jaguar XK 120,43,82.69
10110,S24_3191,1969 Chevrolet Camaro Z28,27,80.47
10110,S24_1046,1970 Chevy Chevelle SS 454,36,72.02
10110,S24_3432,2002 Chevy Corvette,37,96.37
10110,S24_1628,1966 Shelby Cobra 427 S/C,29,43.27
10110,S18_1589,1965 Aston Martin DB5,37,118.22
10111,S18_3136,18th Century Vintage Horse Carriage,43,94.25
10111,S18_2957,1934 Ford V8 Coupe,28,53.09
10111,S24_4258,1936 Chrysler Airflow,26,85.7
10111,S18_3320,1917 Maxwell Touring Car,39,91.27
10111,S18_1367,1936 Mercedes-Benz 500K Special Roadster,48,48.52
10111,S18_1342,1937 Lincoln Berline,33,87.33
10112,S10_1949,1952 Alpine Renault 1300,29,197.16
10112,S18_2949,1913 Ford Model T Speedster,23,85.1
10113,S32_3522,1996 Peterbilt 379 Stake Bed with Outrigger,23,58.82
10113,S12_1666,1958 Setra Bus,21,121.64
10113,S18_4668,1939 Cadillac Limousine,50,43.27
10113,S18_1097,1940 Ford Pickup Truck,49,101.5
10114,S24_2840,1958 Chevy Corvette Limited Edition,24,28.64
10114,S32_2509,1954 Greyhound Scenicruiser,28,43.83
10114,S18_2319,1964 Mercedes Tour Bus,39,106.78
10114,S18_3232,1992 Ferrari 360 Spider red,48,169.34
10114,S24_2300,1962 Volkswagen Microbus,21,102.23
10114,S18_2432,1926 Ford Fire Engine,45,53.48
10114,S32_1268,1980's GM Manhattan Express,32,88.61
10114,S10_4962,1962 LanciaA Delta 16V,31,128.53
10114,S18_4600,1940s Ford truck,41,105.34
10114,S700_2824,1982 Camaro Z28,42,82.94
10115,S24_4048,1992 Porsche Cayenne Turbo Silver,44,106.45
10115,S24_1444,1970 Dodge Coronet,47,56.64
10115,S50_1392,Diamond T620 Semi-Skirted Tanker,27,100.7
10115,S18_2238,1998 Chrysler Plymouth Prowler,46,140.81
10115,S12_4473,1957 Chevy Pickup,46,111.39
10116,S32_3207,1950's Chicago Surface Lines Streetcar,27,60.28
10117,S700_3962,The Queen Mary,45,89.38
10117,S72_3212,Pont Yacht,50,52.42
10117,S24_2011,18th century schooner,41,119.2
10117,S18_4522,1904 Buick Runabout,23,73.73
10117,S18_3140,1903 Ford Model A,26,121.57
10117,S700_1938,The Mayflower,38,75.35
10117,S18_3259,Collectable Wooden Train,21,81.68
10117,S12_3891,1969 Ford Falcon,39,173.02
10117,S12_1108,2001 Ferrari Enzo,33,195.33
10117,S12_3148,1969 Corvair Monza,43,148.06
10117,S50_1514,1962 City of Detroit Streetcar,21,55.65
10117,S18_4027,1970 Triumph Spitfire,22,122.08
10118,S700_3505,The Titanic,36,86.15
10119,S700_4002,American Airlines: MD-11S,26,63.67
10119,S24_3949,Corsair F4U ( Bird Cage),28,62.1
10119,S18_1662,1980s Black Hawk Helicopter,43,151.38
10119,S24_2841,1900s Vintage Bi-Plane,41,64.4
10119,S24_3420,1937 Horch 930V Limousine,20,63.12
10119,S72_1253,Boeing X-32A JSF,28,40.22
10119,S700_2047,HMS Bounty,29,74.23
10119,S18_3856,1941 Chevrolet Special Deluxe Cabriolet,27,95.28
10119,S18_3029,1999 Yamaha Speed Boat,21,74.84
10119,S24_3816,1940 Ford Delivery Sedan,35,82.18
10119,S10_4757,1972 Alfa Romeo GTA,46,112.88
10119,S700_2610,The USS Constitution Ship,38,67.22
10119,S24_3151,1912 Ford Model T Delivery Wagon,35,72.58
10119,S700_1138,The Schooner Bluenose,25,57.34
10120,S24_1578,1997 BMW R 1100 S,35,110.45
10120,S10_4698,2003 Harley-Davidson Eagle Drag Bike,46,158.8
10120,S10_2016,1996 Moto Guzzi 1100i,29,118.94
10120,S18_2625,1936 Harley Davidson El Knucklehead,46,57.54
10120,S24_2000,1960 BSA Gold Star DBD34,34,72.36
10120,S32_1374,1997 BMW F650 ST,22,94.9
10120,S700_2834,ATA: B757-300,24,106.79
10120,S18_2581,P-51-D Mustang,29,82.79
10120,S24_4278,1900s Vintage Tri-Plane,29,71.73
10120,S24_1785,1928 British Royal Navy Airplane,39,93.01
10120,S32_4289,1928 Ford Phaeton Deluxe,29,68.79
10120,S50_1341,1930 Buick Marquette Phaeton,49,41.46
10120,S700_1691,American Airlines: B767-300,47,91.34
10120,S700_3167,F/A 18 Hornet 1/72,43,72
10120,S700_2466,America West Airlines B757-200,24,81.77
