customerNumber,customerName,salesRepFirstName,salesRepLastName
103,Atelier graphique,Gerard,Hernandez
112,Signal Gift Stores,Leslie,Thompson
114,"Australian Collectors, Co.",Andy,Fixter
119,La Rochelle Gifts,Gerard,Hernandez
121,Baane Mini Imports,Barry,Jones
124,Mini Gifts Distributors Ltd.,Leslie,Jennings
125,Havel & Zbyszek Co,,
128,"Blauer See Auto, Co.",Barry,Jones
129,Mini Wheels Co.,Leslie,Jennings
131,Land of Toys Inc.,George,Vanauf
141,Euro+ Shopping Channel,Gerard,Hernandez
144,"Volvo Model Replicas, Co",Barry,Jones
145,Danish Wholesale Imports,Pamela,Castillo
146,"Saveley & Henriot, Co.",Loui,Bondur
148,"Dragon Souveniers, Ltd.",Mami,Nishi
151,Muscle Machine Inc,Foon Yue,Tseng
157,Diecast Classics Inc.,Steve,Patterson
161,Technics Stores Inc.,Leslie,Jennings
166,Handji Gifts& Co,Peter,Marsh
167,Herkku Gifts,Barry,Jones
168,American Souvenirs Inc,Foon Yue,Tseng
169,Porto Imports Co.,,
171,Daedalus Designs Imports,Gerard,Hernandez
172,"La Corne Dabondance, Co.",Loui,Bondur
173,Cambridge Collectables Co.,Julie,Firrelli
175,Gift Depot Inc.,George,Vanauf
177,Osaka Souveniers Co.,Mami,Nishi
181,Vitachrome Inc.,Foon Yue,Tseng
186,"Toys of Finland, Co.",Larry,Bott
187,"AV Stores, Co.",Larry,Bott
189,"Clover Collections, Co.",Barry,Jones
198,Auto-Moto Classics Inc.,Steve,Patterson
201,"UK Collectables, Ltd.",Larry,Bott
202,Canadian Gift Exchange Network,George,Vanauf
204,Online Mini Collectables,Julie,Firrelli
205,Toys4GrownUps.com,Leslie,Thompson
206,"Asian Shopping Network, Co",,
209,Mini Caravy,Gerard,Hernandez
211,"King Kong Collectables, Co.",Mami,Nishi
216,Enaco Distributors,Martin,Gerard
219,Boards & Toys Co.,Leslie,Thompson
223,Natürlich Autos,,
227,Heintze Collectables,Pamela,Castillo
233,Québec Home Shopping Network,Foon Yue,Tseng
237,ANG Resellers,,
239,Collectable Mini Designs Co.,Leslie,Thompson
240,giftsbymail.co.uk,Larry,Bott
242,Alpha Cognac,Gerard,Hernandez
247,Messner Shopping Network,,
249,Amica Models & Co.,Pamela,Castillo
250,Lyon Souveniers,Loui,Bondur
256,Auto Associés & Cie.,Gerard,Hernandez
259,"Toms Spezialitäten, Ltd",Barry,Jones
260,"Royal Canadian Collectables, Ltd.",George,Vanauf
273,"Franken Gifts, Co",,
276,"Anna's Decorations, Ltd",Andy,Fixter
278,Rovelli Gifts,Pamela,Castillo
282,Souveniers And Things Co.,Andy,Fixter
286,Marta's Replicas Co.,Steve,Patterson
293,BG&E Collectables,,
298,"Vida Sport, Ltd",Martin,Gerard
299,"Norway Gifts By Mail, Co.",Barry,Jones
303,Schuyler Imports,,
307,Der Hund Imports,,
311,"Oulu Toy Supplies, Inc.",Larry,Bott
314,Petit Auto,Pamela,Castillo
319,Mini Classics,George,Vanauf
320,Mini Creations Ltd.,Julie,Firrelli
321,Corporate Gift Ideas Co.,Leslie,Jennings
323,"Down Under Souveniers, Inc",Peter,Marsh
324,"Stylish Desk Decors, Co.",Larry,Bott
328,Tekni Collectables Inc.,George,Vanauf
333,"Australian Gift Network, Co",Andy,Fixter
334,Suominen Souveniers,Larry,Bott
335,"Cramer Spezialitäten, Ltd",,
339,"Classic Gift Ideas, Inc",Julie,Firrelli
344,CAF Imports,Martin,Gerard
347,"Men'R' US Retailers, Ltd.",Leslie,Thompson
348,"Asian Treasures, Inc.",,
350,Marseille Mini Autos,Loui,Bondur
353,Reims Collectables,Loui,Bondur
356,"SAR Distributors, Co",,
357,GiftsForHim.com,Peter,Marsh
361,Kommission Auto,,
362,Gifts4AllAges.com,Steve,Patterson
363,Online Diecast Creations Co.,Steve,Patterson
369,"Lisboa Souveniers, Inc",,
376,Precious Collectables,Martin,Gerard
379,Collectables For Less Inc.,Julie,Firrelli
381,Royale Belge,Pamela,Castillo
382,Salzburg Collectables,Pamela,Castillo
385,Cruz & Sons Co.,Mami,Nishi
386,L'ordine Souveniers,Pamela,Castillo
398,"Tokyo Collectables, Ltd",Mami,Nishi
406,Auto Canal+ Petit,Loui,Bondur
409,Stuttgart Collectable Exchange,,
412,"Extreme Desk Decorations, Ltd",Peter,Marsh
415,"Bavarian Collectables Imports, Co.",Barry,Jones
424,Classic Legends Inc.,Foon Yue,Tseng
443,"Feuer Online Stores, Inc",,
447,Gift Ideas Corp.,George,Vanauf
448,Scandinavian Gift Ideas,Barry,Jones
450,The Sharp Gifts Warehouse,Leslie,Jennings
452,Mini Auto Werke,Pamela,Castillo
455,Super Scale Inc.,Foon Yue,Tseng
456,Microscale Inc.,Foon Yue,Tseng
458,"Corrida Auto Replicas, Ltd",Martin,Gerard
459,Warburg Exchange,,
462,FunGiftIdeas.com,Steve,Patterson
465,"Anton Designs, Ltd.",,
471,"Australian Collectables, Ltd",Andy,Fixter
473,Frau da Collezione,Pamela,Castillo
475,West Coast Collectables Co.,Leslie,Thompson
477,Mit Vergnügen & Co.,,
480,"Kremlin Collectables, Co.",,
481,"Raanan Stores, Inc",,
484,"Iberia Gift Imports, Corp.",Martin,Gerard
486,Motor Mint Distributors Inc.,George,Vanauf
487,Signal Collectibles Ltd.,Leslie,Jennings
489,"Double Decker Gift Stores, Ltd",Larry,Bott
495,Diecast Collectables,Julie,Firrelli
496,Kelly's Gift Shop,Peter,Marsh
