orderNumber,orderDate,status,city
10100,2003-01-06,Shipped,Nashua
10101,2003-01-09,Shipped,Frankfurt
10102,2003-01-10,Shipped,NYC
10103,2003-01-29,Shipped,Stavern
10104,2003-01-31,Shipped,Madrid
10105,2003-02-11,Shipped,Kobenhavn
10106,2003-02-17,Shipped,Bergamo
10107,2003-02-24,Shipped,NYC
10108,2003-03-03,Shipped,Makati City
10109,2003-03-10,Shipped,Philadelphia
10110,2003-03-18,Shipped,Manchester
10111,2003-03-25,Shipped,San Francisco
10112,2003-03-24,Shipped,Luleå
10113,2003-03-26,Shipped,San Rafael
10114,2003-04-01,Shipped,Paris
10115,2003-04-04,Shipped,NYC
10116,2003-04-11,Shipped,Charleroi
10117,2003-04-16,Shipped,Singapore
10118,2003-04-21,Shipped,Barcelona
10119,2003-04-28,Shipped,Salzburg
10120,2003-04-29,Shipped,Melbourne
10121,2003-05-07,Shipped,Reims
10122,2003-05-08,Shipped,Marseille
10123,2003-05-20,Shipped,Nantes
10124,2003-05-21,Shipped,Las Vegas
10125,2003-05-21,Shipped,Melbourne
10126,2003-05-28,Shipped,Madrid
10127,2003-06-03,Shipped,NYC
10128,2003-06-06,Shipped,Madrid
10129,2003-06-12,Shipped,London
10130,2003-06-16,Shipped,Brickhaven
10131,2003-06-16,Shipped,Glendale
10132,2003-06-25,Shipped,Auckland  
10133,2003-06-27,Shipped,Madrid
10134,2003-07-01,Shipped,Paris
10135,2003-07-02,Shipped,San Rafael
10136,2003-07-04,Shipped,Toulouse
10137,2003-07-10,Shipped,Reims
10138,2003-07-07,Shipped,Auckland
10139,2003-07-16,Shipped,Chatswood
10140,2003-07-24,Shipped,Burlingame
10141,2003-08-01,Shipped,Espoo
10142,2003-08-08,Shipped,San Rafael
10143,2003-08-10,Shipped,New Bedford
10144,2003-08-13,Shipped,Charleroi
10145,2003-08-25,Shipped,Pasadena
10146,2003-09-03,Shipped,Glendale
10147,2003-09-05,Shipped,Brickhaven
10148,2003-09-11,Shipped,North Sydney
10149,2003-09-12,Shipped,Brisbane
10150,2003-09-19,Shipped,Singapore
10151,2003-09-21,Shipped,Oulu
10152,2003-09-25,Shipped,South Brisbane
10153,2003-09-28,Shipped,Madrid
10154,2003-10-02,Shipped,Glendale
10155,2003-10-06,Shipped,Helsinki
10156,2003-10-08,Shipped,Madrid
10157,2003-10-09,Shipped,Milan
10158,2003-10-10,Shipped,Stavern
10159,2003-10-10,Shipped,San Francisco
10160,2003-10-11,Shipped,Los Angeles
10161,2003-10-17,Shipped,Århus
10162,2003-10-18,Shipped,San Francisco
10163,2003-10-20,Shipped,NYC
10164,2003-10-21,Resolved,Graz
10165,2003-10-22,Shipped,Singapore
10166,2003-10-21,Shipped,New Bedford
10167,2003-10-23,Cancelled,Bräcke
10168,2003-10-28,Shipped,Burlingame
10169,2003-11-04,Shipped,North Sydney
10170,2003-11-04,Shipped,Graz
10171,2003-11-05,Shipped,Montréal
10172,2003-11-05,Shipped,Bridgewater
10173,2003-11-05,Shipped,Bergamo
10174,2003-11-06,Shipped,South Brisbane
10175,2003-11-06,Shipped,London
10176,2003-11-06,Shipped,Reggio Emilia
10177,2003-11-07,Shipped,Madrid
10178,2003-11-08,Shipped,Toulouse
10179,2003-11-11,Cancelled,Auckland
10180,2003-11-11,Shipped,Lille
10181,2003-11-12,Shipped,Bergen
10182,2003-11-12,Shipped,San Rafael
10183,2003-11-13,Shipped,Philadelphia
10184,2003-11-14,Shipped,Sevilla
10185,2003-11-14,Shipped,New Bedford
10186,2003-11-14,Shipped,London
10187,2003-11-15,Shipped,Central Hong Kong
10188,2003-11-18,Shipped,Bergen
10189,2003-11-18,Shipped,Pasadena
10190,2003-11-19,Shipped,Madrid
10191,2003-11-20,Shipped,Köln
10192,2003-11-20,Shipped,Nashua
10193,2003-11-21,Shipped,Glen Waverly
10194,2003-11-25,Shipped,Lyon
10195,2003-11-25,Shipped,White Plains
10196,2003-11-26,Shipped,New Haven
10197,2003-11-26,Shipped,Barcelona
10198,2003-11-27,Shipped,Makati City
10199,2003-12-01,Shipped,Burbank
10200,2003-12-01,Shipped,Central Hong Kong
10201,2003-12-01,Shipped,San Francisco
10202,2003-12-02,Shipped,Auckland
10203,2003-12-02,Shipped,Madrid
10204,2003-12-02,Shipped,NYC
10205,2003-12-03,Shipped,Madrid
10206,2003-12-05,Shipped,Vancouver
10207,2003-12-09,Shipped,Boston
10208,2004-01-02,Shipped,Lyon
10209,2004-01-09,Shipped,Los Angeles
10210,2004-01-12,Shipped,Kita-ku
10211,2004-01-15,Shipped,Paris
10212,2004-01-16,Shipped,Madrid
10213,2004-01-22,Shipped,London
10214,2004-01-26,Shipped,Madrid
10215,2004-01-29,Shipped,Burbank
10216,2004-02-02,Shipped,Versailles
10217,2004-02-04,Shipped,Singapore
10218,2004-02-09,Shipped,Milan
10219,2004-02-10,Shipped,Brisbane
10220,2004-02-12,Shipped,Dublin
10221,2004-02-18,Shipped,Bruxelles
10222,2004-02-19,Shipped,San Diego
10223,2004-02-20,Shipped,Melbourne
10224,2004-02-21,Shipped,Lille
10225,2004-02-22,Shipped,Genève
10226,2004-02-26,Shipped,San Diego
10227,2004-03-02,Shipped,Lyon
10228,2004-03-10,Shipped,Cambridge
10229,2004-03-11,Shipped,San Rafael
10230,2004-03-15,Shipped,Frankfurt
10231,2004-03-19,Shipped,Madrid
10232,2004-03-20,Shipped,Cowes
10233,2004-03-29,Shipped,Newark
10234,2004-03-30,Shipped,Wellington
10235,2004-04-02,Shipped,Tsawassen
10236,2004-04-03,Shipped,Philadelphia
10237,2004-04-05,Shipped,NYC
10238,2004-04-09,Shipped,Kobenhavn
10239,2004-04-12,Shipped,Oulu
10240,2004-04-13,Shipped,Kita-ku
10241,2004-04-13,Shipped,Strasbourg
10242,2004-04-20,Shipped,NYC
10243,2004-04-26,Shipped,Boston
10244,2004-04-29,Shipped,Madrid
10245,2004-05-04,Shipped,New Haven
10246,2004-05-05,Shipped,Madrid
10247,2004-05-05,Shipped,Espoo
10248,2004-05-07,Cancelled,NYC
10249,2004-05-08,Shipped,Cambridge
10250,2004-05-11,Shipped,San Jose
10251,2004-05-18,Shipped,Newark
10252,2004-05-26,Shipped,Paris
10253,2004-06-01,Cancelled,Liverpool
10254,2004-06-03,Shipped,Auckland  
