orderNumber,productCode,productVendor,quantityOrdered,priceEach
10100,S24_3969,Red Start Diecast,49,35.29
10100,S18_2248,Motor City Art Classics,50,55.09
10100,S18_1749,Welly Diecast Productions,30,136
10100,S18_4409,Exoto Designs,22,75.46
10101,S18_2795,Gearbox Collectibles,26,167.06
10101,S24_2022,Classic Metal Creations,46,44.35
10101,S24_1937,Motor City Art Classics,45,32.53
10101,S18_2325,Autoart Studio Design,25,108.06
10102,S18_1367,Studio M Art Models,41,43.13
10102,S18_1342,Motor City Art Classics,39,95.55
10103,S24_2300,Autoart Studio Design,36,107.34
10103,S18_2432,Carousel DieCast Legends,22,58.34
10103,S32_1268,Motor City Art Classics,31,92.46
10103,S10_4962,Second Gear Diecast,42,119.67
10103,S18_4600,Motor City Art Classics,36,98.07
10103,S700_2824,Carousel DieCast Legends,42,94.07
10103,S32_3522,Red Start Diecast,45,63.35
10103,S12_1666,Welly Diecast Productions,27,121.64
10103,S18_4668,Studio M Art Models,41,40.75
10103,S18_1097,Studio M Art Models,35,94.5
10103,S10_1949,Classic Metal Creations,26,214.3
10103,S18_2949,Carousel DieCast Legends,27,92.19
10103,S18_3136,Red Start Diecast,25,86.92
10103,S18_2957,Min Lin Diecast,35,61.84
10103,S24_4258,Second Gear Diecast,25,88.62
10103,S18_3320,Exoto Designs,46,86.31
10104,S12_3148,Welly Diecast Productions,34,131.44
10104,S50_1514,Classic Metal Creations,32,53.31
10104,S18_4027,Min Lin Diecast,38,119.2
10104,S32_3207,Gearbox Collectibles,49,56.55
10104,S24_4048,Exoto Designs,26,106.45
10104,S24_1444,Highway 66 Mini Classics,35,52.02
10104,S50_1392,Highway 66 Mini Classics,33,114.59
10104,S18_2238,Gearbox Collectibles,24,135.9
10104,S12_4473,Exoto Designs,41,111.39
10104,S24_2840,Carousel DieCast Legends,44,30.41
10104,S32_2509,Classic Metal Creations,35,51.95
10104,S18_2319,Unimax Art Galleries,29,122.73
10104,S18_3232,Unimax Art Galleries,23,165.95
10105,S24_3816,Carousel DieCast Legends,50,75.47
10105,S10_4757,Motor City Art Classics,50,127.84
10105,S700_2610,Red Start Diecast,31,60.72
10105,S24_3151,Min Lin Diecast,44,73.46
10105,S700_1138,Autoart Studio Design,41,54
10105,S700_3505,Carousel DieCast Legends,39,92.16
10105,S700_3962,Welly Diecast Productions,22,99.31
10105,S72_3212,Unimax Art Galleries,25,44.77
10105,S24_2011,Carousel DieCast Legends,43,117.97
10105,S18_4522,Exoto Designs,41,75.48
10105,S18_3140,Unimax Art Galleries,22,136.59
10105,S700_1938,Studio M Art Models,29,86.61
10105,S18_3259,Carousel DieCast Legends,38,87.73
10105,S12_3891,Second Gear Diecast,29,141.88
10105,S12_1108,Second Gear Diecast,41,205.72
10106,S700_2834,Highway 66 Mini Classics,32,113.9
10106,S18_2581,Gearbox Collectibles,34,81.1
10106,S24_4278,Unimax Art Galleries,26,71
10106,S24_1785,Classic Metal Creations,28,107.23
10106,S32_4289,Highway 66 Mini Classics,33,65.35
10106,S50_1341,Studio M Art Models,39,35.78
10106,S700_1691,Min Lin Diecast,31,91.34
10106,S700_3167,Motor City Art Classics,44,76
10106,S700_2466,Motor City Art Classics,34,99.72
10106,S700_4002,Second Gear Diecast,48,70.33
10106,S24_3949,Second Gear Diecast,50,55.96
10106,S18_1662,Red Start Diecast,36,134.04
10106,S24_2841,Autoart Studio Design,49,65.77
10106,S24_3420,Autoart Studio Design,31,55.89
10106,S72_1253,Motor City Art Classics,48,43.7
10106,S700_2047,Unimax Art Galleries,30,85.09
10106,S18_3856,Exoto Designs,41,94.22
10106,S18_3029,Min Lin Diecast,41,80.86
10107,S12_2823,Unimax Art Galleries,21,122
10107,S10_1678,Min Lin Diecast,30,81.35
10107,S24_1578,Autoart Studio Design,25,96.92
10107,S10_4698,Red Start Diecast,27,172.36
10107,S10_2016,Highway 66 Mini Classics,39,105.86
10107,S18_2625,Welly Diecast Productions,29,52.7
10107,S24_2000,Highway 66 Mini Classics,38,73.12
10107,S32_1374,Exoto Designs,20,88.9
10108,S24_3856,Classic Metal Creations,40,132
10108,S18_1889,Gearbox Collectibles,38,67.76
10108,S12_4675,Welly Diecast Productions,36,107.1
10108,S12_3380,Welly Diecast Productions,45,96.3
10108,S24_3371,Welly Diecast Productions,30,60.01
10108,S12_1099,Autoart Studio Design,33,165.38
10108,S12_3990,Studio M Art Models,39,75.81
10108,S18_3482,Gearbox Collectibles,29,132.29
10108,S18_3278,Min Lin Diecast,26,73.17
10108,S24_4620,Classic Metal Creations,31,67.1
10108,S18_4721,Classic Metal Creations,44,139.87
10108,S18_3782,Studio M Art Models,43,52.84
10108,S32_2206,Gearbox Collectibles,27,36.21
10108,S50_4713,Autoart Studio Design,34,74.85
10108,S24_2360,Highway 66 Mini Classics,35,64.41
10108,S32_4485,Second Gear Diecast,31,87.76
10109,S18_2870,Red Start Diecast,26,126.72
10109,S18_3685,Gearbox Collectibles,47,125.74
10109,S18_1984,Min Lin Diecast,38,137.98
10109,S18_1129,Highway 66 Mini Classics,26,117.48
10109,S18_3232,Unimax Art Galleries,46,160.87
10109,S24_2972,Second Gear Diecast,29,32.1
10110,S18_2795,Gearbox Collectibles,31,163.69
10110,S24_2022,Classic Metal Creations,39,40.77
10110,S24_1937,Motor City Art Classics,20,28.88
10110,S18_2325,Autoart Studio Design,33,115.69
10110,S24_3969,Red Start Diecast,48,35.29
10110,S18_2248,Motor City Art Classics,32,51.46
10110,S18_1749,Welly Diecast Productions,42,153
10110,S18_4409,Exoto Designs,28,81.91
10110,S18_4933,Studio M Art Models,42,62
10110,S24_2887,Exoto Designs,46,112.74
10110,S24_2766,Classic Metal Creations,43,82.69
10110,S24_3191,Exoto Designs,27,80.47
10110,S24_1046,Unimax Art Galleries,36,72.02
10110,S24_3432,Gearbox Collectibles,37,96.37
10110,S24_1628,Carousel DieCast Legends,29,43.27
10110,S18_1589,Classic Metal Creations,37,118.22
10111,S18_3136,Red Start Diecast,43,94.25
10111,S18_2957,Min Lin Diecast,28,53.09
10111,S24_4258,Second Gear Diecast,26,85.7
10111,S18_3320,Exoto Designs,39,91.27
10111,S18_1367,Studio M Art Models,48,48.52
10111,S18_1342,Motor City Art Classics,33,87.33
10112,S10_1949,Classic Metal Creations,29,197.16
10112,S18_2949,Carousel DieCast Legends,23,85.1
10113,S32_3522,Red Start Diecast,23,58.82
10113,S12_1666,Welly Diecast Productions,21,121.64
10113,S18_4668,Studio M Art Models,50,43.27
10113,S18_1097,Studio M Art Models,49,101.5
10114,S24_2840,Carousel DieCast Legends,24,28.64
10114,S32_2509,Classic Metal Creations,28,43.83
10114,S18_2319,Unimax Art Galleries,39,106.78
10114,S18_3232,Unimax Art Galleries,48,169.34
10114,S24_2300,Autoart Studio Design,21,102.23
10114,S18_2432,Carousel DieCast Legends,45,53.48
10114,S32_1268,Motor City Art Classics,32,88.61
10114,S10_4962,Second Gear Diecast,31,128.53
10114,S18_4600,Motor City Art Classics,41,105.34
10114,S700_2824,Carousel DieCast Legends,42,82.94
10115,S24_4048,Exoto Designs,44,106.45
10115,S24_1444,Highway 66 Mini Classics,47,56.64
10115,S50_1392,Highway 66 Mini Classics,27,100.7
10115,S18_2238,Gearbox Collectibles,46,140.81
10115,S12_4473,Exoto Designs,46,111.39
10116,S32_3207,Gearbox Collectibles,27,60.28
10117,S700_3962,Welly Diecast Productions,45,89.38
10117,S72_3212,Unimax Art Galleries,50,52.42
10117,S24_2011,Carousel DieCast Legends,41,119.2
10117,S18_4522,Exoto Designs,23,73.73
10117,S18_3140,Unimax Art Galleries,26,121.57
