customerNumber,customerName,totalPayments
103,Atelier graphique,22314.36
112,Signal Gift Stores,80180.98
114,"Australian Collectors, Co.",180585.07
119,La Rochelle Gifts,116949.68
121,Baane Mini Imports,104224.79
124,Mini Gifts Distributors Ltd.,584188.24
128,"Blauer See Auto, Co.",75937.76000000001
129,Mini Wheels Co.,66710.56
131,Land of Toys Inc.,107639.94
141,Euro+ Shopping Channel,715738.98
144,"Volvo Model Replicas, Co",43680.65
145,Danish Wholesale Imports,107446.5
146,"Saveley & Henriot, Co.",130305.35
148,"Dragon Souveniers, Ltd.",156251.03
151,Muscle Machine Inc,177913.94999999998
157,Diecast Classics Inc.,98509.25
161,Technics Stores Inc.,104545.22
166,Handji Gifts& Co,105420.57
167,Herkku Gifts,97562.47
171,Daedalus Designs Imports,61781.7
172,"La Corne Dabondance, Co.",86553.52
173,Cambridge Collectables Co.,32198.690000000002
175,Gift Depot Inc.,95424.63
177,Osaka Souveniers Co.,62361.219999999994
181,Vitachrome Inc.,72497.64
186,"Toys of Finland, Co.",95546.46
187,"AV Stores, Co.",148410.09
189,"Clover Collections, Co.",49898.270000000004
198,Auto-Moto Classics Inc.,21554.260000000002
201,"UK Collectables, Ltd.",61167.18000000001
202,Canadian Gift Exchange Network,70122.19
204,Online Mini Collectables,55577.26
205,Toys4GrownUps.com,93803.3
209,Mini Caravy,75859.32
211,"King Kong Collectables, Co.",45480.79
216,Enaco Distributors,68520.47
219,Boards & Toys Co.,7918.6
227,Heintze Collectables,89909.79999999999
233,Québec Home Shopping Network,68977.67
239,Collectable Mini Designs Co.,80375.24
240,giftsbymail.co.uk,71783.75
242,Alpha Cognac,60483.36
249,Amica Models & Co.,82223.23
250,Lyon Souveniers,67659.19
256,Auto Associés & Cie.,58876.409999999996
259,"Toms Spezialitäten, Ltd",89223.14
260,"Royal Canadian Collectables, Ltd.",66812.0
276,"Anna's Decorations, Ltd",137034.22
278,Rovelli Gifts,127529.69
282,Souveniers And Things Co.,91655.61
286,Marta's Replicas Co.,90545.37
298,"Vida Sport, Ltd",108777.92
299,"Norway Gifts By Mail, Co.",69059.04
311,"Oulu Toy Supplies, Inc.",95706.15
314,Petit Auto,62253.850000000006
319,Mini Classics,78432.16
320,Mini Creations Ltd.,101872.52
321,Corporate Gift Ideas Co.,132340.78
323,"Down Under Souveniers, Inc",154622.08000000002
324,"Stylish Desk Decors, Co.",80556.73
328,Tekni Collectables Inc.,38281.509999999995
333,"Australian Gift Network, Co",55190.16
334,Suominen Souveniers,103896.73999999999
339,"Classic Gift Ideas, Inc",57939.34
344,CAF Imports,46751.14
347,"Men'R' US Retailers, Ltd.",41506.19
350,Marseille Mini Autos,71547.53
353,Reims Collectables,126983.19
357,GiftsForHim.com,56662.38
362,Gifts4AllAges.com,33533.47
363,Online Diecast Creations Co.,116449.29
379,Collectables For Less Inc.,73533.65000000001
381,Royale Belge,29217.18
382,Salzburg Collectables,85060.0
385,Cruz & Sons Co.,87468.3
386,L'ordine Souveniers,90143.31
398,"Tokyo Collectables, Ltd",105548.73
406,Auto Canal+ Petit,86436.97
412,"Extreme Desk Decorations, Ltd",66704.94
415,"Bavarian Collectables Imports, Co.",31310.09
424,Classic Legends Inc.,69214.33
447,Gift Ideas Corp.,49967.78
448,Scandinavian Gift Ideas,76776.44
450,The Sharp Gifts Warehouse,59551.38
452,Mini Auto Werke,51059.990000000005
455,Super Scale Inc.,70378.65
456,Microscale Inc.,29230.43
458,"Corrida Auto Replicas, Ltd",112440.09
462,FunGiftIdeas.com,88627.49
471,"Australian Collectables, Ltd",44920.759999999995
473,Frau da Collezione,25358.32
475,West Coast Collectables Co.,43748.72
484,"Iberia Gift Imports, Corp.",50987.850000000006
486,Motor Mint Distributors Inc.,77726.59
487,Signal Collectibles Ltd.,42570.37
489,"Double Decker Gift Stores, Ltd",29586.15
495,Diecast Collectables,65541.74
496,Kelly's Gift Shop,114497.19
