customerNumber,customerName,orderCount
103,Atelier graphique,3
112,Signal Gift Stores,3
114,"Australian Collectors, Co.",5
119,La Rochelle Gifts,4
121,Baane Mini Imports,4
124,Mini Gifts Distributors Ltd.,17
125,Havel & Zbyszek Co,0
128,"Blauer See Auto, Co.",4
129,Mini Wheels Co.,3
131,Land of Toys Inc.,4
141,Euro+ Shopping Channel,26
144,"Volvo Model Replicas, Co",4
145,Danish Wholesale Imports,5
146,"Saveley & Henriot, Co.",3
148,"Dragon Souveniers, Ltd.",5
151,Muscle Machine Inc,4
157,Diecast Classics Inc.,4
161,Technics Stores Inc.,4
166,Handji Gifts& Co,4
167,Herkku Gifts,3
168,American Souvenirs Inc,0
169,Porto Imports Co.,0
171,Daedalus Designs Imports,2
172,"La Corne Dabondance, Co.",3
173,Cambridge Collectables Co.,2
175,Gift Depot Inc.,3
177,Osaka Souveniers Co.,2
181,Vitachrome Inc.,3
186,"Toys of Finland, Co.",3
187,"AV Stores, Co.",3
189,"Clover Collections, Co.",2
198,Auto-Moto Classics Inc.,3
201,"UK Collectables, Ltd.",3
202,Canadian Gift Exchange Network,2
204,Online Mini Collectables,2
205,Toys4GrownUps.com,3
206,"Asian Shopping Network, Co",0
209,Mini Caravy,3
211,"King Kong Collectables, Co.",2
216,Enaco Distributors,3
219,Boards & Toys Co.,2
223,Natürlich Autos,0
227,Heintze Collectables,2
233,Québec Home Shopping Network,3
237,ANG Resellers,0
239,Collectable Mini Designs Co.,2
240,giftsbymail.co.uk,2
242,Alpha Cognac,3
247,Messner Shopping Network,0
249,Amica Models & Co.,2
250,Lyon Souveniers,3
256,Auto Associés & Cie.,2
259,"Toms Spezialitäten, Ltd",2
260,"Royal Canadian Collectables, Ltd.",2
273,"Franken Gifts, Co",0
276,"Anna's Decorations, Ltd",4
278,Rovelli Gifts,3
282,Souveniers And Things Co.,4
286,Marta's Replicas Co.,2
293,BG&E Collectables,0
298,"Vida Sport, Ltd",2
299,"Norway Gifts By Mail, Co.",2
303,Schuyler Imports,0
307,Der Hund Imports,0
311,"Oulu Toy Supplies, Inc.",3
314,Petit Auto,3
319,Mini Classics,2
320,Mini Creations Ltd.,3
321,Corporate Gift Ideas Co.,4
323,"Down Under Souveniers, Inc",5
324,"Stylish Desk Decors, Co.",3
328,Tekni Collectables Inc.,3
333,"Australian Gift Network, Co",3
334,Suominen Souveniers,3
335,"Cramer Spezialitäten, Ltd",0
339,"Classic Gift Ideas, Inc",2
344,CAF Imports,2
347,"Men'R' US Retailers, Ltd.",2
348,"Asian Treasures, Inc.",0
350,Marseille Mini Autos,3
353,Reims Collectables,5
356,"SAR Distributors, Co",0
357,GiftsForHim.com,3
361,Kommission Auto,0
362,Gifts4AllAges.com,3
363,Online Diecast Creations Co.,3
369,"Lisboa Souveniers, Inc",0
376,Precious Collectables,0
379,Collectables For Less Inc.,3
381,Royale Belge,4
382,Salzburg Collectables,4
385,Cruz & Sons Co.,3
386,L'ordine Souveniers,3
398,"Tokyo Collectables, Ltd",4
406,Auto Canal+ Petit,3
409,Stuttgart Collectable Exchange,0
412,"Extreme Desk Decorations, Ltd",3
415,"Bavarian Collectables Imports, Co.",1
424,Classic Legends Inc.,3
443,"Feuer Online Stores, Inc",0
447,Gift Ideas Corp.,3
448,Scandinavian Gift Ideas,3
450,The Sharp Gifts Warehouse,4
452,Mini Auto Werke,3
455,Super Scale Inc.,2
456,Microscale Inc.,2
458,"Corrida Auto Replicas, Ltd",3
459,Warburg Exchange,0
462,FunGiftIdeas.com,3
465,"Anton Designs, Ltd.",0
471,"Australian Collectables, Ltd",3
473,Frau da Collezione,2
475,West Coast Collectables Co.,2
477,Mit Vergnügen & Co.,0
480,"Kremlin Collectables, Co.",0
481,"Raanan Stores, Inc",0
484,"Iberia Gift Imports, Corp.",2
486,Motor Mint Distributors Inc.,3
487,Signal Collectibles Ltd.,2
489,"Double Decker Gift Stores, Ltd",2
495,Diecast Collectables,2
496,Kelly's Gift Shop,4
