ID,Question,Intent,Tables,Columns,Filters,Joins,Raw_JSON
1,List all products,SELECT,products,*,None,None,"{""intent"":""SELECT"",""tables"":""products"",""columns"":""*"",""filters"":""None"",""joins"":""None""}"
2,Get all customers,SELECT,customers,*,None,None,"{""intent"":""SELECT"",""tables"":""customers"",""columns"":""*"",""filters"":""None"",""joins"":""None""}"
3,Show all orders,SELECT,orders,*,None,None,"{""intent"":""SELECT"",""tables"":""orders"",""columns"":""*"",""filters"":""None"",""joins"":""None""}"
4,List all employees,SELECT,employees,*,None,None,"{""intent"":""SELECT"",""tables"":""employees"",""columns"":""*"",""filters"":""None"",""joins"":""None""}"
5,Get all offices,SELECT,offices,*,None,None,"{""intent"":""SELECT"",""tables"":""offices"",""columns"":""*"",""filters"":""None"",""joins"":""None""}"
6,Show all product lines,SELECT,products,productLine,None,None,"{""intent"":""SELECT"",""tables"":""products"",""columns"":""productLine"",""filters"":""None"",""joins"":""None""}"
7,List all payments,SELECT,payments,*,None,None,"{""intent"":""SELECT"",""tables"":""payments"",""columns"":""*"",""filters"":""None"",""joins"":""None""}"
8,Get product names and prices,SELECT,products,"productName, MSRP",None,None,"{""intent"":""SELECT"",""tables"":""products"",""columns"":""productName, MSRP"",""filters"":""None"",""joins"":""None""}"
9,Get customer names and cities,SELECT,customers,"customerName, city",None,None,"{""intent"":""SELECT"",""tables"":""customers"",""columns"":""customerName, city"",""filters"":""None"",""joins"":""None""}"
10,List employee first and last names,SELECT,employees,"firstName, lastName",None,None,"{""intent"":""SELECT"",""tables"":""employees"",""columns"":""firstName, lastName"",""filters"":""None"",""joins"":""None""}"
11,Get all order dates,SELECT,orders,orderDate,None,None,"{""intent"":""SELECT"",""tables"":""orders"",""columns"":""orderDate"",""filters"":""None"",""joins"":""None""}"
12,Show product vendor list,SELECT,products,productVendor,None,None,"{""intent"":""SELECT"",""tables"":""products"",""columns"":""productVendor"",""filters"":""None"",""joins"":""None""}"
13,Get all product codes,SELECT,products,productCode,None,None,"{""intent"":""SELECT"",""tables"":""products"",""columns"":""productCode"",""filters"":""None"",""joins"":""None""}"
14,List all countries from offices,SELECT,offices,country,None,None,"{""intent"":""SELECT"",""tables"":""offices"",""columns"":""country"",""filters"":""None"",""joins"":""None""}"
15,Show all order statuses,SELECT,orders,status,None,None,"{""intent"":""SELECT"",""tables"":""orders"",""columns"":""status"",""filters"":""None"",""joins"":""None""}"
16,Get all payment amounts,SELECT,payments,amount,None,None,"{""intent"":""SELECT"",""tables"":""payments"",""columns"":""amount"",""filters"":""None"",""joins"":""None""}"
17,List all job titles,SELECT,employees,jobTitle,None,None,"{""intent"":""SELECT"",""tables"":""employees"",""columns"":""jobTitle"",""filters"":""None"",""joins"":""None""}"
18,Get customer phone numbers,SELECT,customers,phone,None,None,"{""intent"":""SELECT"",""tables"":""customers"",""columns"":""phone"",""filters"":""None"",""joins"":""None""}"
19,Show product MSRP values,SELECT,products,MSRP,None,None,"{""intent"":""SELECT"",""tables"":""products"",""columns"":""MSRP"",""filters"":""None"",""joins"":""None""}"
20,List order numbers,SELECT,orders,orderNumber,None,None,"{""intent"":""SELECT"",""tables"":""orders"",""columns"":""orderNumber"",""filters"":""None"",""joins"":""None""}"
21,Get orders with customer names,JOIN,"orders, customers","orders.*, customers.customerName",None,orders.customerNumber = customers.customerNumber,"{""intent"":""JOIN"",""tables"":""orders, customers"",""columns"":""orders.*, customers.customerName"",""filters"":""None"",""joins"":""orders.customerNumber = customers.customerNumber""}"
22,Get employees with office city,JOIN,"employees, offices","employees.*, offices.city",None,employees.officeCode = offices.officeCode,"{""intent"":""JOIN"",""tables"":""employees, offices"",""columns"":""employees.*, offices.city"",""filters"":""None"",""joins"":""employees.officeCode = offices.officeCode""}"
23,Get payments with customer names,JOIN,"payments, customers","payments.*, customers.customerName",None,payments.customerNumber = customers.customerNumber,"{""intent"":""JOIN"",""tables"":""payments, customers"",""columns"":""payments.*, customers.customerName"",""filters"":""None"",""joins"":""payments.customerNumber = customers.customerNumber""}"
24,Get order details with product names,JOIN,"orderdetails, products","orderdetails.*, products.productName",None,orderdetails.productCode = products.productCode,"{""intent"":""JOIN"",""tables"":""orderdetails, products"",""columns"":""orderdetails.*, products.productName"",""filters"":""None"",""joins"":""orderdetails.productCode = products.productCode""}"
